index,actual_time,previous_time,weekday,hour,minute,second,day,month,year
37,80.0,90.0,0,1,42,14,31,7,2017
80,90.0,80.0,0,3,2,15,31,7,2017
106,95.0,90.0,0,3,52,15,31,7,2017
158,90.0,95.0,0,5,22,16,31,7,2017
192,-1.0,90.0,0,7,2,16,31,7,2017
206,75.0,-1.0,0,7,42,17,31,7,2017
252,40.0,75.0,0,10,22,18,31,7,2017
275,55.0,40.0,0,11,22,18,31,7,2017
304,60.0,55.0,0,12,42,19,31,7,2017
322,85.0,60.0,0,13,12,19,31,7,2017
384,70.0,85.0,0,15,22,20,31,7,2017
421,60.0,70.0,0,16,22,21,31,7,2017
455,55.0,60.0,0,17,22,21,31,7,2017
482,60.0,55.0,0,18,42,22,31,7,2017
510,60.0,60.0,0,19,22,22,31,7,2017
549,60.0,60.0,0,20,42,23,31,7,2017
559,65.0,60.0,0,21,2,23,31,7,2017
609,60.0,65.0,0,22,12,24,31,7,2017
647,60.0,60.0,0,23,32,24,31,7,2017
672,55.0,60.0,1,0,12,25,1,8,2017
710,55.0,55.0,1,1,22,25,1,8,2017
738,50.0,55.0,1,2,12,26,1,8,2017
770,55.0,50.0,1,3,22,26,1,8,2017
796,20.0,55.0,1,4,22,27,1,8,2017
854,15.0,20.0,1,6,22,28,1,8,2017
865,-1.0,15.0,1,7,2,28,1,8,2017
875,10.0,-1.0,1,7,22,28,1,8,2017
909,-1.0,10.0,1,9,12,29,1,8,2017
925,20.0,-1.0,1,10,42,30,1,8,2017
947,30.0,20.0,1,11,22,30,1,8,2017
956,45.0,30.0,1,12,2,30,1,8,2017
982,45.0,45.0,1,12,52,31,1,8,2017
1030,50.0,45.0,1,14,22,31,1,8,2017
1060,45.0,50.0,1,15,12,32,1,8,2017
1092,50.0,45.0,1,16,12,33,1,8,2017
1149,50.0,50.0,1,18,32,34,1,8,2017
1217,45.0,50.0,1,20,52,35,1,8,2017
1265,40.0,45.0,1,22,12,35,1,8,2017
1302,40.0,40.0,1,23,12,36,1,8,2017
1344,30.0,40.0,2,0,52,37,2,8,2017
1373,40.0,30.0,2,1,42,37,2,8,2017
1423,40.0,40.0,2,3,22,38,2,8,2017
1454,40.0,40.0,2,4,32,38,2,8,2017
1456,30.0,40.0,2,4,52,38,2,8,2017
1511,30.0,30.0,2,6,32,39,2,8,2017
1520,10.0,30.0,2,7,2,39,2,8,2017
1557,15.0,10.0,2,9,22,41,2,8,2017
1576,25.0,15.0,2,10,42,41,2,8,2017
1597,30.0,25.0,2,11,42,42,2,8,2017
1625,30.0,30.0,2,13,12,44,2,8,2017
1727,40.0,30.0,2,16,32,44,2,8,2017
1731,40.0,40.0,2,16,42,44,2,8,2017
1802,45.0,40.0,2,19,2,46,2,8,2017
1813,45.0,45.0,2,19,12,46,2,8,2017
1862,45.0,45.0,2,21,2,47,2,8,2017
1950,45.0,45.0,2,23,32,48,2,8,2017
2030,35.0,45.0,3,2,12,49,3,8,2017
2070,25.0,35.0,3,3,32,50,3,8,2017
2093,20.0,25.0,3,4,32,50,3,8,2017
2150,20.0,20.0,3,6,12,51,3,8,2017
2162,-1.0,20.0,3,7,2,51,3,8,2017
2172,-1.0,-1.0,3,7,32,51,3,8,2017
2192,5.0,-1.0,3,8,42,52,3,8,2017
2207,5.0,5.0,3,9,2,52,3,8,2017
2224,20.0,5.0,3,10,22,53,3,8,2017
2247,35.0,20.0,3,11,42,54,3,8,2017
2277,60.0,35.0,3,12,52,54,3,8,2017
2331,75.0,60.0,3,14,12,55,3,8,2017
2364,75.0,75.0,3,15,12,56,3,8,2017
2394,90.0,75.0,3,16,22,56,3,8,2017
2416,90.0,90.0,3,17,12,56,3,8,2017
2461,90.0,90.0,3,18,52,57,3,8,2017
2481,15.0,90.0,3,19,12,57,3,8,2017
2508,100.0,15.0,3,20,12,58,3,8,2017
2523,85.0,100.0,3,20,52,58,3,8,2017
2565,80.0,85.0,3,22,2,59,3,8,2017
2590,60.0,80.0,3,23,2,59,3,8,2017
2613,30.0,60.0,4,0,3,0,4,8,2017
2659,20.0,30.0,4,1,23,2,4,8,2017
2675,20.0,20.0,4,2,3,1,4,8,2017
2699,20.0,20.0,4,3,3,1,4,8,2017
2733,10.0,20.0,4,4,3,2,4,8,2017
2767,15.0,10.0,4,5,3,3,4,8,2017
2799,20.0,15.0,4,6,3,3,4,8,2017
2818,-1.0,20.0,4,7,3,3,4,8,2017
2864,15.0,-1.0,4,10,33,5,4,8,2017
2885,35.0,15.0,4,11,43,5,4,8,2017
2916,40.0,35.0,4,12,53,6,4,8,2017
2967,50.0,40.0,4,14,13,7,4,8,2017
2995,50.0,50.0,4,15,13,7,4,8,2017
3025,50.0,50.0,4,16,23,7,4,8,2017
3060,45.0,50.0,4,17,23,8,4,8,2017
3096,45.0,45.0,4,18,43,9,4,8,2017
3125,50.0,45.0,4,19,23,9,4,8,2017
3159,60.0,50.0,4,20,13,9,4,8,2017
3174,70.0,60.0,4,21,3,10,4,8,2017
3210,40.0,70.0,4,22,13,10,4,8,2017
3229,40.0,40.0,4,23,3,11,4,8,2017
3277,20.0,40.0,5,0,13,12,5,8,2017
3297,20.0,20.0,5,1,3,12,5,8,2017
3353,20.0,20.0,5,2,43,13,5,8,2017
3399,-1.0,20.0,5,4,23,14,5,8,2017
3447,30.0,-1.0,5,6,3,14,5,8,2017
3464,-1.0,30.0,5,7,3,15,5,8,2017
3473,25.0,-1.0,5,7,23,15,5,8,2017
3484,15.0,25.0,5,8,23,15,5,8,2017
3499,5.0,15.0,5,9,23,16,5,8,2017
3514,10.0,5.0,5,10,13,16,5,8,2017
3535,15.0,10.0,5,11,33,17,5,8,2017
3554,20.0,15.0,5,12,33,17,5,8,2017
3557,25.0,20.0,5,12,43,17,5,8,2017
3677,40.0,25.0,5,16,33,23,5,8,2017
3691,45.0,40.0,5,17,3,19,5,8,2017
3805,60.0,45.0,5,20,33,21,5,8,2017
3806,65.0,60.0,5,20,43,21,5,8,2017
3835,70.0,65.0,5,21,53,22,5,8,2017
3870,75.0,70.0,5,22,53,22,5,8,2017
3902,75.0,75.0,5,23,53,23,5,8,2017
3939,75.0,75.0,6,1,3,24,6,8,2017
3960,65.0,75.0,6,1,43,28,6,8,2017
4005,70.0,65.0,6,3,3,28,6,8,2017
4031,75.0,70.0,6,4,3,25,6,8,2017
4044,65.0,75.0,6,4,43,25,6,8,2017
4098,60.0,65.0,6,6,13,26,6,8,2017
4115,-1.0,60.0,6,7,3,26,6,8,2017
4124,55.0,-1.0,6,7,33,27,6,8,2017
4138,50.0,55.0,6,8,23,27,6,8,2017
4156,30.0,50.0,6,9,53,28,6,8,2017
4169,10.0,30.0,6,10,33,28,6,8,2017
4171,10.0,10.0,6,10,43,28,6,8,2017
4213,15.0,10.0,6,12,43,29,6,8,2017
4223,25.0,15.0,6,13,3,30,6,8,2017
4265,35.0,25.0,6,14,13,30,6,8,2017
4299,35.0,35.0,6,15,13,30,6,8,2017
4334,40.0,35.0,6,16,23,31,6,8,2017
4363,50.0,40.0,6,17,13,31,6,8,2017
4381,20.0,50.0,6,18,3,32,6,8,2017
4424,90.0,20.0,6,19,23,33,6,8,2017
4452,100.0,90.0,6,20,13,33,6,8,2017
4473,110.0,100.0,6,21,3,33,6,8,2017
4502,110.0,110.0,6,22,3,33,6,8,2017
4532,115.0,110.0,6,23,3,34,6,8,2017
4555,115.0,115.0,0,0,3,34,7,8,2017
4590,115.0,115.0,0,1,3,35,7,8,2017
4620,115.0,115.0,0,2,3,46,7,8,2017
4648,115.0,115.0,0,3,3,36,7,8,2017
4680,115.0,115.0,0,4,3,36,7,8,2017
4708,115.0,115.0,0,5,3,37,7,8,2017
4743,100.0,115.0,0,6,13,37,7,8,2017
4754,90.0,100.0,0,7,3,38,7,8,2017
4778,60.0,90.0,0,8,43,38,7,8,2017
4787,60.0,60.0,0,9,13,39,7,8,2017
4804,60.0,60.0,0,10,3,39,7,8,2017
4825,60.0,60.0,0,11,23,40,7,8,2017
4846,90.0,60.0,0,12,23,40,7,8,2017
4853,90.0,90.0,0,12,43,40,7,8,2017
4910,110.0,90.0,0,14,23,41,7,8,2017
4931,100.0,110.0,0,15,3,41,7,8,2017
4970,90.0,100.0,0,16,23,42,7,8,2017
4999,80.0,90.0,0,17,13,42,7,8,2017
5030,60.0,80.0,0,18,13,43,7,8,2017
5059,60.0,60.0,0,19,13,43,7,8,2017
5082,70.0,60.0,0,20,13,44,7,8,2017
5105,70.0,70.0,0,21,3,44,7,8,2017
5151,80.0,70.0,0,22,13,45,7,8,2017
5176,80.0,80.0,0,23,3,45,7,8,2017
5191,85.0,80.0,0,23,53,46,7,8,2017
5224,45.0,85.0,1,0,53,46,8,8,2017
5258,30.0,45.0,1,1,53,47,8,8,2017
5289,40.0,30.0,1,2,53,47,8,8,2017
5327,30.0,40.0,1,4,3,48,8,8,2017
5393,30.0,30.0,1,6,13,49,8,8,2017
5407,-1.0,30.0,1,7,3,49,8,8,2017
5420,10.0,-1.0,1,7,43,50,8,8,2017
5432,-1.0,10.0,1,8,23,50,8,8,2017
5447,10.0,-1.0,1,9,23,51,8,8,2017
5463,30.0,10.0,1,10,33,51,8,8,2017
5486,45.0,30.0,1,11,43,51,8,8,2017
5507,60.0,45.0,1,12,23,52,8,8,2017
5512,60.0,60.0,1,12,43,52,8,8,2017
5554,60.0,60.0,1,14,3,53,8,8,2017
5590,60.0,60.0,1,15,13,53,8,8,2017
5619,50.0,60.0,1,16,13,54,8,8,2017
5647,45.0,50.0,1,17,13,54,8,8,2017
5685,45.0,45.0,1,18,23,55,8,8,2017
5698,45.0,45.0,1,19,3,55,8,8,2017
5740,45.0,45.0,1,20,13,58,8,8,2017
5764,55.0,45.0,1,21,3,56,8,8,2017
5794,55.0,55.0,1,22,3,57,8,8,2017
5823,55.0,55.0,1,23,3,57,8,8,2017
5852,55.0,55.0,2,0,3,58,9,8,2017
5876,45.0,55.0,2,1,3,58,9,8,2017
5900,45.0,45.0,2,2,3,59,9,8,2017
5944,40.0,45.0,2,3,13,59,9,8,2017
5968,30.0,40.0,2,4,14,0,9,8,2017
5977,20.0,30.0,2,4,54,0,9,8,2017
6028,20.0,20.0,2,6,14,1,9,8,2017
6044,-1.0,20.0,2,7,4,1,9,8,2017
6051,15.0,-1.0,2,7,14,2,9,8,2017
6066,5.0,15.0,2,8,14,2,9,8,2017
6079,5.0,5.0,2,9,4,3,9,8,2017
6093,25.0,5.0,2,10,4,3,9,8,2017
6117,20.0,25.0,2,11,14,4,9,8,2017
6147,35.0,20.0,2,12,14,4,9,8,2017
6153,30.0,35.0,2,12,44,4,9,8,2017
6269,50.0,30.0,2,16,44,6,9,8,2017
6352,55.0,50.0,2,19,34,8,9,8,2017
6389,65.0,55.0,2,20,54,8,9,8,2017
6431,60.0,65.0,2,22,4,9,9,8,2017
6461,60.0,60.0,2,23,4,9,9,8,2017
6490,60.0,60.0,3,0,4,10,10,8,2017
6521,20.0,60.0,3,1,14,11,10,8,2017
6543,15.0,20.0,3,2,4,11,10,8,2017
6580,15.0,15.0,3,3,14,11,10,8,2017
6601,10.0,15.0,3,4,4,12,10,8,2017
6640,15.0,10.0,3,5,4,13,10,8,2017
6668,30.0,15.0,3,6,44,13,10,8,2017
6678,-1.0,30.0,3,7,4,13,10,8,2017
6702,5.0,-1.0,3,8,24,14,10,8,2017
6710,10.0,5.0,3,9,14,14,10,8,2017
6719,20.0,10.0,3,10,4,15,10,8,2017
6750,30.0,20.0,3,11,34,16,10,8,2017
6773,45.0,30.0,3,12,44,16,10,8,2017
6776,45.0,45.0,3,12,54,16,10,8,2017
6819,60.0,45.0,3,14,24,17,10,8,2017
6860,70.0,60.0,3,15,54,18,10,8,2017
6878,70.0,70.0,3,16,14,18,10,8,2017
6912,60.0,70.0,3,17,34,18,10,8,2017
6950,70.0,60.0,3,18,54,19,10,8,2017
6965,60.0,70.0,3,19,14,19,10,8,2017
7000,50.0,60.0,3,20,24,20,10,8,2017
7063,50.0,50.0,3,22,54,21,10,8,2017
7107,30.0,50.0,4,0,4,22,11,8,2017
7142,30.0,30.0,4,1,14,22,11,8,2017
7152,30.0,30.0,4,1,54,23,11,8,2017
7212,30.0,30.0,4,3,44,23,11,8,2017
7295,30.0,30.0,4,6,14,25,11,8,2017
7309,-1.0,30.0,4,7,4,25,11,8,2017
7315,5.0,-1.0,4,7,14,25,11,8,2017
7334,5.0,5.0,4,8,14,26,11,8,2017
7350,15.0,5.0,4,9,14,26,11,8,2017
7371,20.0,15.0,4,10,24,27,11,8,2017
7385,30.0,20.0,4,11,14,27,11,8,2017
7417,30.0,30.0,4,12,14,28,11,8,2017
7425,35.0,30.0,4,12,44,28,11,8,2017
7522,45.0,35.0,4,15,44,29,11,8,2017
7624,45.0,45.0,4,19,4,31,11,8,2017
7636,45.0,45.0,4,19,14,31,11,8,2017
7680,45.0,45.0,4,20,34,32,11,8,2017
7698,45.0,45.0,4,21,14,32,11,8,2017
7733,35.0,45.0,4,22,34,33,11,8,2017
7871,20.0,35.0,5,3,54,35,12,8,2017
7881,30.0,20.0,5,4,4,39,12,8,2017
7886,30.0,30.0,5,4,14,36,12,8,2017
7897,25.0,30.0,5,4,44,36,12,8,2017
7948,20.0,25.0,5,6,14,37,12,8,2017
7955,15.0,20.0,5,7,4,37,12,8,2017
7977,5.0,15.0,5,8,4,37,12,8,2017
7993,5.0,5.0,5,9,4,38,12,8,2017
8011,5.0,5.0,5,10,14,39,12,8,2017
8034,10.0,5.0,5,11,24,39,12,8,2017
8054,20.0,10.0,5,12,14,39,12,8,2017
8059,25.0,20.0,5,12,34,39,12,8,2017
8147,45.0,25.0,5,15,34,41,12,8,2017
8178,50.0,45.0,5,16,24,41,12,8,2017
8211,50.0,50.0,5,17,14,42,12,8,2017
8248,60.0,50.0,5,18,44,42,12,8,2017
8277,70.0,60.0,5,19,14,43,12,8,2017
8310,90.0,70.0,5,20,44,44,12,8,2017
8405,75.0,90.0,5,23,54,45,12,8,2017
8463,70.0,75.0,6,1,54,46,13,8,2017
8514,70.0,70.0,6,3,34,47,13,8,2017
8532,65.0,70.0,6,4,24,47,13,8,2017
8607,60.0,65.0,6,7,4,48,13,8,2017
8629,70.0,60.0,6,8,24,50,13,8,2017
8633,120.0,70.0,6,8,54,50,13,8,2017
8652,30.0,120.0,6,9,24,50,13,8,2017
8667,25.0,30.0,6,10,24,52,13,8,2017
8689,30.0,25.0,6,11,54,51,13,8,2017
8758,40.0,30.0,6,14,4,52,13,8,2017
8799,5.0,40.0,6,15,14,53,13,8,2017
8824,30.0,5.0,6,16,4,53,13,8,2017
8859,45.0,30.0,6,17,4,54,13,8,2017
8890,50.0,45.0,6,18,4,55,13,8,2017
8926,60.0,50.0,6,19,4,56,13,8,2017
8954,70.0,60.0,6,20,4,55,13,8,2017
8984,75.0,70.0,6,21,4,56,13,8,2017
9150,100.0,75.0,0,2,14,58,14,8,2017
9157,100.0,100.0,0,2,54,58,14,8,2017
9190,100.0,100.0,0,3,54,59,14,8,2017
9210,100.0,100.0,0,4,14,59,14,8,2017
9284,-1.0,100.0,0,7,5,1,14,8,2017
9291,105.0,-1.0,0,7,25,0,14,8,2017
9319,75.0,105.0,0,9,15,1,14,8,2017
9322,45.0,75.0,0,9,25,1,14,8,2017
9359,55.0,45.0,0,11,45,3,14,8,2017
9382,60.0,55.0,0,12,35,2,14,8,2017
9394,60.0,60.0,0,13,5,3,14,8,2017
9479,45.0,60.0,0,15,35,4,14,8,2017
9505,45.0,45.0,0,16,45,5,14,8,2017
9530,45.0,45.0,0,17,15,5,14,8,2017
9558,50.0,45.0,0,18,25,6,14,8,2017
9587,50.0,50.0,0,19,25,6,14,8,2017
9616,50.0,50.0,0,20,45,7,14,8,2017
9620,60.0,50.0,0,20,55,7,14,8,2017
9653,20.0,60.0,3,23,0,36,24,8,2017
9658,20.0,20.0,3,23,0,51,24,8,2017
9713,15.0,20.0,3,23,57,4,24,8,2017
9795,15.0,15.0,4,1,17,5,25,8,2017
9818,15.0,15.0,4,1,47,5,25,8,2017
9882,30.0,15.0,4,2,47,6,25,8,2017
9922,35.0,30.0,4,3,27,6,25,8,2017
10063,15.0,35.0,4,6,27,8,25,8,2017
10092,5.0,15.0,4,7,7,8,25,8,2017
10135,-1.0,5.0,4,8,7,8,25,8,2017
10177,10.0,-1.0,4,9,7,8,25,8,2017
10228,15.0,10.0,4,10,7,9,25,8,2017
10276,25.0,15.0,4,11,27,10,25,8,2017
10315,25.0,25.0,4,12,7,10,25,8,2017
10343,30.0,25.0,4,12,37,10,25,8,2017
10514,35.0,30.0,4,15,27,11,25,8,2017
10524,35.0,35.0,4,15,37,12,25,8,2017
10665,40.0,35.0,4,17,57,13,25,8,2017
10756,45.0,40.0,4,19,17,13,25,8,2017
10832,40.0,45.0,4,20,37,14,25,8,2017
10864,30.0,40.0,4,21,7,14,25,8,2017
10878,30.0,30.0,4,21,17,14,25,8,2017
10955,10.0,30.0,4,22,47,15,25,8,2017
11025,10.0,10.0,4,23,57,16,25,8,2017
11061,10.0,10.0,5,0,37,16,26,8,2017
11130,15.0,10.0,5,1,57,16,26,8,2017
11194,35.0,15.0,5,2,57,17,26,8,2017
11424,-1.0,35.0,5,7,7,19,26,8,2017
11446,10.0,-1.0,5,7,37,19,26,8,2017
11620,15.0,10.0,5,12,7,21,26,8,2017
11663,30.0,15.0,5,12,57,22,26,8,2017
11739,30.0,30.0,5,14,7,22,26,8,2017
11781,30.0,30.0,5,14,57,22,26,8,2017
11864,35.0,30.0,5,16,7,23,26,8,2017
11919,35.0,35.0,5,17,7,24,26,8,2017
11960,35.0,35.0,5,17,57,24,26,8,2017
12039,40.0,35.0,5,19,7,25,26,8,2017
12100,45.0,40.0,5,20,7,25,26,8,2017
12148,45.0,45.0,5,20,57,25,26,8,2017
12297,45.0,45.0,5,23,27,27,26,8,2017
12411,20.0,45.0,6,1,27,28,27,8,2017
12452,25.0,20.0,6,2,7,28,27,8,2017
12501,25.0,25.0,6,3,7,29,27,8,2017
12609,25.0,25.0,6,4,57,30,27,8,2017
12682,25.0,25.0,6,6,17,30,27,8,2017
12717,30.0,25.0,6,7,7,31,27,8,2017
12762,30.0,30.0,6,8,17,31,27,8,2017
12789,5.0,30.0,6,9,7,31,27,8,2017
12825,-1.0,5.0,6,10,7,32,27,8,2017
12875,5.0,-1.0,6,11,27,33,27,8,2017
12920,5.0,5.0,6,12,17,33,27,8,2017
12945,15.0,5.0,6,12,47,33,27,8,2017
13030,10.0,15.0,6,14,7,34,27,8,2017
13092,20.0,10.0,6,15,7,34,27,8,2017
13156,30.0,20.0,6,16,7,35,27,8,2017
13227,45.0,30.0,6,17,17,35,27,8,2017
13272,50.0,45.0,6,18,7,36,27,8,2017
13334,55.0,50.0,6,19,7,37,27,8,2017
13393,55.0,55.0,6,20,7,37,27,8,2017
13461,60.0,55.0,6,21,7,37,27,8,2017
13472,60.0,60.0,6,21,17,37,27,8,2017
13552,70.0,60.0,6,22,47,38,27,8,2017
13620,70.0,70.0,6,23,57,39,27,8,2017
13662,75.0,70.0,0,0,37,39,28,8,2017
13730,80.0,75.0,0,1,47,39,28,8,2017
13785,75.0,80.0,0,2,37,40,28,8,2017
13852,60.0,75.0,0,3,57,40,28,8,2017
13982,50.0,60.0,0,6,27,42,28,8,2017
14011,-1.0,50.0,0,7,7,42,28,8,2017
14017,45.0,-1.0,0,7,17,42,28,8,2017
14073,20.0,45.0,0,8,57,43,28,8,2017
14106,20.0,20.0,0,9,47,43,28,8,2017
14124,30.0,20.0,0,10,7,43,28,8,2017
14165,45.0,30.0,0,11,7,44,28,8,2017
14236,60.0,45.0,0,12,37,45,28,8,2017
14289,60.0,60.0,0,13,27,45,28,8,2017
14337,60.0,60.0,0,14,17,46,28,8,2017
14408,60.0,60.0,0,15,37,46,28,8,2017
14466,55.0,60.0,0,16,27,47,28,8,2017
14508,45.0,55.0,0,17,17,48,28,8,2017
14584,40.0,45.0,0,18,37,48,28,8,2017
14628,50.0,40.0,0,19,17,48,28,8,2017
14660,50.0,50.0,0,20,7,49,28,8,2017
14698,60.0,50.0,0,20,57,49,28,8,2017
14760,20.0,60.0,0,22,7,50,28,8,2017
14883,20.0,20.0,1,0,37,51,29,8,2017
14981,30.0,20.0,1,2,37,52,29,8,2017
15015,30.0,30.0,1,3,17,52,29,8,2017
15070,30.0,30.0,1,4,27,53,29,8,2017
15076,30.0,30.0,1,4,37,53,29,8,2017
15163,10.0,30.0,1,6,27,54,29,8,2017
15187,5.0,10.0,1,7,7,54,29,8,2017
15216,5.0,5.0,1,8,17,55,29,8,2017
15277,5.0,5.0,1,10,47,56,29,8,2017
15284,20.0,5.0,1,10,57,56,29,8,2017
15351,40.0,20.0,1,12,17,57,29,8,2017
15367,40.0,40.0,1,12,47,57,29,8,2017
15492,40.0,40.0,1,15,7,58,29,8,2017
15546,45.0,40.0,1,16,7,58,29,8,2017
15721,40.0,45.0,1,19,38,0,29,8,2017
15726,35.0,40.0,1,19,48,0,29,8,2017
15750,30.0,35.0,1,20,8,0,29,8,2017
15787,25.0,30.0,1,20,58,0,29,8,2017
15896,10.0,25.0,1,23,8,2,29,8,2017
